Age,Gender,Nationality,City,City_Tier,Marital_Status,Education,Employment_Status,Monthly_Income_AED,Has_Credit_Card,Has_Loyalty_Card,Shopping_Frequency,Preferred_Channel,Preferred_Category,Avg_Monthly_Purchases,Avg_Basket_Size_AED,Returns_Per_Year,Discount_Seeker,Social_Media_Hours_Daily,Primary_Social_Platform,Responds_To_Influencer_Ads,Clicks_Email_Campaigns,App_Sessions_Per_Week,Last_Online_Purchase_Days,Brand_Loyalty_Score,NPS_Score,Customer_Tenure_Months,Support_Tickets_Last_Year,Referrals_Made,Shops_During_Ramadan,Shops_During_DSF,Prefers_Arabic_Content,Uses_Buy_Now_Pay_Later,Will_Buy,Max_Spend
56,Female,Indian,Sharjah,Tier 2,Married,Bachelors,Employed Full-Time,4504,0,0,Daily,Both,Food and Dining,8,2887,1,1,6.2,Facebook,0,1,15,55,5,8,27,6,0,1,0,1,0,0,5222
46,Male,Indian,Dubai,Tier 1,Married,Diploma,Employed Full-Time,11467,1,1,Weekly,In-Store,Food and Dining,11,1925,4,0,7.2,Snapchat,0,0,23,61,3,4,64,2,9,1,0,0,0,1,6210
32,Male,Pakistani,Dubai,Tier 1,Married,Masters,Employed Full-Time,31756,1,1,Bi-Weekly,Both,Sports,11,2436,2,1,3.0,Twitter X,1,1,4,101,2,6,45,4,7,1,0,0,1,0,12218
60,Female,Indian,Dubai,Tier 1,Married,Bachelors,Self-Employed,12484,1,1,Bi-Weekly,Online,Travel,8,1741,2,1,4.5,LinkedIn,1,1,27,152,10,10,67,6,4,1,1,1,0,1,5952
25,Male,Pakistani,Dubai,Tier 1,Married,High School,Employed Full-Time,15842,0,0,Bi-Weekly,In-Store,Sports,1,1891,4,1,5.4,Instagram,1,0,9,147,9,1,26,0,8,1,0,1,0,0,6304
38,Female,Other,Abu Dhabi,Tier 1,Single,Masters,Employed Full-Time,34275,0,0,Monthly,In-Store,Fashion,2,1252,8,1,3.0,TikTok,1,0,8,24,4,0,99,2,2,0,1,0,0,1,6624
56,Female,Jordanian,Ajman,Tier 3,Married,Masters,Employed Part-Time,33234,1,1,Monthly,Online,Fashion,4,1320,1,1,7.9,Snapchat,0,1,21,54,10,1,13,2,1,0,1,0,1,1,11622
36,Male,Egyptian,Dubai,Tier 1,Single,Masters,Employed Full-Time,24605,1,1,Weekly,Both,Electronics,2,1053,8,1,7.1,YouTube,0,0,29,149,6,3,81,0,7,1,1,0,0,1,4480
40,Male,Jordanian,Sharjah,Tier 2,Single,Bachelors,Unemployed,1040,0,0,Monthly,Online,Food and Dining,2,723,2,0,2.7,Facebook,1,1,23,81,9,5,30,6,4,1,1,0,0,0,2802
28,Male,Lebanese,Abu Dhabi,Tier 1,Married,High School,Employed Full-Time,17319,1,0,Daily,Online,Sports,13,1748,6,1,4.3,LinkedIn,0,1,18,19,5,2,93,6,0,1,1,0,0,1,8226
28,Female,Pakistani,Ajman,Tier 3,Single,Bachelors,Employed Part-Time,23179,1,1,Bi-Weekly,In-Store,Luxury,6,779,0,0,2.2,LinkedIn,0,0,28,178,7,1,78,7,5,1,1,1,0,1,7162
41,Male,Indian,Dubai,Tier 1,Single,Masters,Employed Full-Time,23344,1,1,Rarely,Both,Groceries,4,366,0,1,4.4,Snapchat,0,1,2,151,5,6,30,2,2,0,1,0,0,1,9807
53,Male,Filipino,Abu Dhabi,Tier 1,Married,High School,Unemployed,443,1,0,Bi-Weekly,In-Store,Beauty,15,125,7,0,5.6,LinkedIn,0,0,8,37,9,7,101,1,7,1,1,0,1,1,2219
57,Male,American,Ras Al Khaimah,Tier 3,Married,Masters,Employed Full-Time,30929,1,0,Bi-Weekly,Both,Electronics,3,1023,8,1,1.1,TikTok,0,0,21,28,2,8,44,6,5,0,1,0,0,1,6148
41,Female,Pakistani,Abu Dhabi,Tier 1,Married,Bachelors,Employed Part-Time,20236,0,1,Weekly,In-Store,Travel,4,253,2,0,7.0,TikTok,1,1,19,80,3,10,48,1,1,1,1,1,1,1,8662
20,Male,Egyptian,Dubai,Tier 1,Married,Masters,Employed Full-Time,12732,1,1,Monthly,Both,Travel,17,2521,5,0,5.0,Twitter X,1,1,7,71,5,9,102,0,5,1,1,0,0,1,7122
39,Male,Emirati,Dubai,Tier 1,Single,Bachelors,Self-Employed,14038,1,1,Weekly,Online,Luxury,6,1808,2,0,7.9,Instagram,0,1,3,149,2,7,9,4,2,1,1,0,0,0,7880
19,Female,American,Dubai,Tier 1,Single,High School,Employed Full-Time,23651,1,1,Monthly,Both,Electronics,2,242,5,1,0.7,TikTok,0,1,10,21,6,1,48,3,6,1,0,0,0,1,5062
41,Female,Lebanese,Abu Dhabi,Tier 1,Married,Bachelors,Employed Full-Time,24881,0,1,Weekly,In-Store,Fashion,13,2994,6,1,6.7,Snapchat,0,0,3,169,10,2,96,0,0,1,1,0,0,1,15971
61,Male,British,Sharjah,Tier 2,Single,Bachelors,Student,4769,1,0,Daily,In-Store,Groceries,15,2878,4,1,6.4,TikTok,0,1,11,35,3,0,56,5,0,0,0,0,0,0,4770
47,Male,Other,Dubai,Tier 1,Married,Bachelors,Unemployed,350,1,1,Weekly,Online,Fashion,5,1512,2,1,1.5,YouTube,1,1,22,110,5,0,68,0,9,1,1,0,1,1,3719
55,Male,Jordanian,Abu Dhabi,Tier 1,Single,Masters,Employed Full-Time,26702,1,0,Weekly,Both,Luxury,19,2398,7,1,3.0,YouTube,0,0,6,1,5,5,6,0,3,1,1,0,0,1,5499
19,Female,Other,Abu Dhabi,Tier 1,Married,High School,Student,4447,1,1,Monthly,Both,Fashion,6,309,4,0,7.1,Snapchat,0,1,27,92,10,2,115,6,6,1,0,0,0,1,1603
38,Male,Other,Abu Dhabi,Tier 1,Married,Bachelors,Employed Full-Time,4372,1,1,Monthly,Both,Beauty,17,2713,0,1,4.4,Snapchat,1,1,7,91,8,3,65,5,3,1,0,0,0,1,7704
50,Male,Lebanese,Sharjah,Tier 2,Married,High School,Student,2112,1,1,Bi-Weekly,Online,Home and Living,1,481,8,1,3.5,Facebook,1,1,9,70,9,9,89,5,8,1,1,0,0,1,3445
29,Female,British,Sharjah,Tier 2,Married,High School,Employed Part-Time,18544,1,1,Daily,Online,Groceries,2,2813,2,1,7.3,TikTok,0,0,22,132,4,7,104,5,7,1,1,0,0,1,9624
39,Female,Emirati,Dubai,Tier 1,Married,Bachelors,Employed Full-Time,22898,1,1,Weekly,Online,Fashion,1,745,1,1,1.2,Instagram,1,1,28,1,10,4,102,0,4,0,0,1,0,0,8113
61,Male,Pakistani,Ajman,Tier 3,Single,High School,Student,922,1,0,Bi-Weekly,In-Store,Food and Dining,8,247,2,0,4.0,Facebook,1,0,23,149,1,10,67,1,0,1,0,1,1,1,604
42,Female,Filipino,Dubai,Tier 1,Single,Bachelors,Student,3263,0,1,Weekly,Both,Groceries,4,1032,6,0,5.4,Facebook,1,1,12,99,5,5,21,0,2,1,0,0,1,1,1578
